ID,Similarity Score,SMILES
DB16041,1, CC1=C(C)C(=O)C(CC[C@@](C)(O)C(N)=O)=C(C)C1=O
DB15684,1, ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O
DB14094,1, CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O
DB11917,1, CC(C)=CCC\\C(C)=C\\CC\\C(C)=C\\CC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O
DB09270,1, COC1=C(OC)C(=O)C(C\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CC\\C=C(/C)CCC=C(C)C)=C(C)C1=O
DB09081,1, COC1=C(OC)C(=O)C(CCCCCCCCCCCCO)=C(C)C1=O
DB08690,1, COC1=C(OC)C(=O)C(C\\C=C(/C)CCC=C(C)C)=C(C)C1=O
DB08689,1, COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O
DB07640,1, CCCCCCCCCCC1=C(C)C(=O)C(OC)=C(OC)C1=O
DB04646,1, CC(C)C1=C(Br)C(=O)C(C)=C(Br)C1=O
DB04334,1, N[C@@H](CC1=CC(=O)C(O)=CC1=O)C(O)=O
DB01927,1, CC1=C(C)C(=O)C(C)=C(C)C1=O
